,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
33,519,38.39,Germany,,GER,1,,Regensburg (GER),07 JUL 2019,1196
34,519,38.39,PR of China,,CHN,1,,Hangzhou (CHN),10 JUL 2021,1196
35,536,38.4,Cuba,,CUB,2,,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968,1195
36,536,38.4,France,,FRA,3,,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1195
37,536,38.4,France,,FRA,2f1,,München (GER),23 JUN 2007,1195
38,536,38.4,United States,,USA,1f1,,"Letzigrund, Zürich (SUI)",07 SEP 2007,1195
39,536,38.4,Germany,,GER,1f1,,"Wattenscheid, Bochum (GER)",02 AUG 2009,1195
40,536,38.4,United States Red,,USA,1f2,,"Philadelphia, PA (USA)",28 APR 2012,1195
41,536,38.4,Brazil,,BRA,4f1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1195
42,536,38.4,Japan,,JPN,5f1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1195
43,536,38.4,Altis B,,USA,1,,"Tempe, AZ (USA)",09 APR 2016,1195
44,545,38.41,Soviet Union,,URS,3,,"Olympiastadion, Helsinki (FIN)",10 AUG 1983,1194
45,545,38.41,Jamaica,,JAM,3,,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1194
46,545,38.41,Italy,,ITA,2sf2,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1194
47,545,38.41,Brazil,,BRA,3,,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996,1194
48,545,38.41,Ghana,,GHA,1h1,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1194
49,545,38.41,Great Britain & NI,,GBR,1f1,,"International Stadium, Gateshead (GBR)",15 JUL 2000,1194
50,545,38.41,United States Red,,USA,1,,"Stade Louis II, Monaco (MON)",29 JUL 2008,1194
51,545,38.41,Great Britain & NI,,GBR,3,,"Letzigrund, Zürich (SUI)",19 AUG 2010,1194
52,545,38.41,Team Speed Unlimited,,USA,1,,"Austin, TX (USA)",09 APR 2011,1194
53,545,38.41,Italy,,ITA,3h3,,"DS, Daegu (KOR)",04 SEP 2011,1194
54,545,38.41,Germany,,GER,1f1,,Weinheim (GER),26 MAY 2012,1194
55,545,38.41,Saint Kitts and Nevis,,SKN,6h1,,"Olympic Stadium, London (GBR)",10 AUG 2012,1194
56,545,38.41,Germany,,GER,1,,Regensburg (GER),08 JUN 2013,1194
57,545,38.41,Netherlands,,NED,3h3,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1194
58,545,38.41,Racers Track Club,,JAM,1,,Kingston (JAM),12 APR 2014,1194
59,545,38.41,Canada,,CAN,2h1,,"Hampden Park, Glasgow (GBR)",01 AUG 2014,1194
60,545,38.41,Netherlands,,NED,6h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1194
61,545,38.41,Brazil,,BRA,6,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1194
62,545,38.41,United States Blue,,USA,3,,"Stade Louis II, Monaco (MON)",21 JUL 2017,1194
63,545,38.41,Barbados,,BAR,1,,Barranquilla (COL),02 AUG 2018,1194
64,545,38.41,LSU,,INT,1,,"Austin, TX (USA)",30 MAR 2019,1194
65,545,38.41,Brazil,,BRA,5h2,,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1194
66,545,38.41,Great Britain & NI,,GBR,1h1,,"Olympiastadion, München (GER)",19 AUG 2022,1194
67,568,38.42,Soviet Union,,URS,1,,Praha (TCH),27 JUN 1987,1193
68,568,38.42,Brazil,,BRA,2sf1,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1193
69,568,38.42,HSI,,INT,1f1,,"Austin, TX (USA)",04 APR 1998,1193
70,568,38.42,Italy,,ITA,1f1,,"Stadio Luigi Ridolfi, Firenze (ITA)",21 JUN 2003,1193
71,568,38.42,United States Red,,USA,1f1,,"Philadelphia, PA (USA)",24 APR 2004,1193
72,568,38.42,Louisiana State,,INT,1f1,,"Des Moines, IA (USA)",13 JUN 2008,1193
73,568,38.42,United States Blue,,USA,4,,"Crystal Palace, London (GBR)",26 JUL 2008,1193
74,568,38.42,UTech,,JAM,2,,Kingston (JAM),12 APR 2014,1193
75,568,38.42,Louisiana State,,USA,1,,"Eugene, OR (USA)",10 JUN 2016,1193
76,568,38.42,Canada,,CAN,1,,Burnaby (CAN),27 JUN 2018,1193
77,568,38.42,United States,,USA,1,,London (GBR),14 JUL 2018,1193
78,579,38.43,France,,FRA,3,,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968,1193
79,579,38.43,Nigeria,,NGR,4,,"National Stadium, Tokyo (JPN)",01 SEP 1991,1193
80,579,38.43,Nigeria,,NGR,4h2,,"Yanmar Stadium Nagai, Osaka (JPN)",31 AUG 2007,1193
81,579,38.43,Germany,,GER,1f1,,Regensburg (GER),07 JUN 2009,1193
82,579,38.43,Racers Track Club,,INT,1,,Kingston (JAM),12 MAR 2011,1193
83,579,38.43,United States Red,,USA,2,,"Philadelphia, PA (USA)",30 APR 2011,1193
84,579,38.43,Canada,,CAN,2,,Weinheim (GER),27 JUL 2012,1193
85,579,38.43,Australia,,AUS,6,,"Olympic Stadium, London (GBR)",11 AUG 2012,1193
86,579,38.43,United States,,USA,1f1,,"T. Robinson Stadium, Nassau (BAH)",22 APR 2017,1193
87,579,38.43,Florida State,,INT,1sf2,,"Austin, TX (USA)",05 JUN 2019,1193
88,579,38.43,Great Britain & NI,,GBR,1,,"Mestský Stadion, Ostrava (CZE)",31 MAY 2022,1193
89,590,38.44,United States,,USA,1sf1,,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1192
90,590,38.44,Nigeria,,NGR,2h2,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1192
91,590,38.44,Japan,,JPN,3h2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1192
92,590,38.44,Brazil,,BRA,1h1,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1192
93,590,38.44,Brazil,,BRA,1,,Santo Domingo (DOM),09 AUG 2003,1192
94,590,38.44,Louisiana State,,INT,1f1,,"Sacramento, CA (USA)",09 JUN 2006,1192
95,590,38.44,Great Britain & NI,,GBR,2,,"Crystal Palace, London (GBR)",25 JUL 2009,1192
96,590,38.44,Germany,,GER,3,,"Estadio Olímpico, Barcelona (ESP)",01 AUG 2010,1192
97,590,38.44,Germany,,GER,2,,"Olympiastadion, Helsinki (FIN)",01 JUL 2012,1192
98,590,38.44,Japan,,JPN,1,,Tianjin (CHN),09 OCT 2013,1192
99,590,38.44,Cuba,,CUB,4h1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1192
0,590,38.44,Cuba,,CUB,1h1,,Rio de Janeiro (BRA),15 MAY 2016,1192
1,590,38.44,Netherlands,,NED,1,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1192
2,590,38.44,Houston,,USA,2,,"Eugene, OR (USA)",10 JUN 2016,1192
3,590,38.44,Antigua & Barbuda,,ANT,6h1,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1192
4,590,38.44,Turkey,,TUR,4h1,,"Olympic Stadium, London (GBR)",12 AUG 2017,1192
5,590,38.44,Jamaica,,JAM,2h2,,Gold Coast (AUS),13 APR 2018,1192
6,607,38.45,Jamaica,,JAM,3h1,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1191
7,607,38.45,HSI,,INT,1f1,,"Lawrence, KS (USA)",22 APR 2000,1191
8,607,38.45,South Carolina,,USA,2f1,,"Durham, NC (USA)",02 JUN 2000,1191
9,607,38.45,Brazil,,BRA,1f3,,Sydney (AUS),14 SEP 2000,1191
10,607,38.45,Poland,,POL,2f1,,"Stadio Luigi Ridolfi, Firenze (ITA)",21 JUN 2003,1191
11,607,38.45,Jamaica,,JAM,2sf1,,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003,1191
12,607,38.45,Netherlands Antilles,,AHO,6,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1191
13,607,38.45,Europe,,INT,2,,"Olympic Stadium, Athina (GRE)",16 SEP 2006,1191
14,607,38.45,Canada,,CAN,1h3,,New Delhi (IND),11 OCT 2010,1191
15,607,38.45,France,,FRA,2,,"Olympic Stadium, London (GBR)",27 JUL 2013,1191
16,607,38.45,United States,,USA,2f2,,San José (CRC),09 AUG 2015,1191
17,607,38.45,Racers Track Club,,JAM,1f2,,Kingston (JAM),16 APR 2016,1191
18,607,38.45,Great Britain & NI,,GBR,1,,Loughborough (GBR),21 MAY 2017,1191
19,607,38.45,Houston,,INT,2,,"Austin, TX (USA)",30 MAR 2019,1191
20,607,38.45,Texas Tech,,INT,3,,"Austin, TX (USA)",07 JUN 2019,1191
21,607,38.45,Europe,,NED,2,,"Dinamo National Olympic Stadium, Minsk (BLR)",09 SEP 2019,1191
22,607,38.45,Brazil,,BRA,1h2,,"Stadion Śląski, Chorzów (POL)",01 MAY 2021,1191
23,607,38.45,Italy,,ITA,1h3,,"Stadion Śląski, Chorzów (POL)",01 MAY 2021,1191
24,625,38.46,Soviet Union,,URS,4,,"Poljud Stadion, Split (CRO)",01 SEP 1990,1190
25,625,38.46,Australia,,AUS,4sf1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1190
26,625,38.46,Great Britain & NI,,GBR,1,,"Crystal Palace, London (GBR)",10 SEP 1994,1190
27,625,38.46,Nigeria,,NGR,4h2,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1190
28,625,38.46,Canada,,CAN,2,,Kuala Lumpur (MAS),21 SEP 1998,1190
29,625,38.46,Brazil,,BRA,1f1,,Bogotá (COL),26 JUN 1999,1190
30,625,38.46,Brazil,,BRA,1h3,,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1190
31,625,38.46,HSI,,USA,1,,"Olympiastadion, Berlin (GER)",07 SEP 1999,1190
32,625,38.46,Japan,,JPN,3h2,,"Olympiastadion, Helsinki (FIN)",12 AUG 2005,1190
33,625,38.46,MVP Track Club,,INT,1f1,,Kingston (JAM),18 APR 2009,1190
34,625,38.46,France,,FRA,3,,"Olympiastadion, Helsinki (FIN)",01 JUL 2012,1190
35,625,38.46,Spain,,ESP,4h1,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1190
36,625,38.46,Germany,,GER,1,,Mannheim (GER),06 JUL 2014,1190
37,625,38.46,Germany,,GER,1,,Regensburg (GER),05 JUN 2016,1190
38,625,38.46,France,,FRA,2h2,,"International Stadium, Yokohama (JPN)",11 MAY 2019,1190
39,625,38.46,Trinidad and Tobago,,TTO,2,,Lima (PER),09 AUG 2019,1190
40,625,38.46,Tumbleweed Track Club,,INT,2f1,,"Percy Beard Track, Gainesville, FL (USA)",16 APR 2022,1190
41,642,38.47,Jamaica,,JAM,4,,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968,1190
42,642,38.47,Poland,,POL,1,,Torino (ITA),04 AUG 1979,1190
43,642,38.47,Jamaica,,JAM,4,,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1190
44,642,38.47,Europa,,FRA,3,,"Estadio Olímpico, Barcelona (ESP)",09 SEP 1989,1190
45,642,38.47,Great Britain & NI,,GBR,1h3,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1190
46,642,38.47,Great Britain & NI,,GBR,1h1,,"Népstadion, Budapest (HUN)",22 AUG 1998,1190
47,642,38.47,United States,,USA,1f1,,Glasgow (GBR),30 AUG 1998,1190
48,642,38.47,South Africa,,RSA,1,,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1190
49,642,38.47,Poland,,POL,2h1,,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1190
50,642,38.47,Trinidad and Tobago,,TTO,1f1,,Nassau (BAH),10 JUL 2005,1190
51,642,38.47,Trinidad and Tobago,,TTO,1h1,,"Olympiastadion, Berlin (GER)",21 AUG 2009,1190
52,642,38.47,Saint Kitts and Nevis,,SKN,3h2,,"DS, Daegu (KOR)",04 SEP 2011,1190
53,642,38.47,United States Blue,,USA,1f1,,"Philadelphia, PA (USA)",28 APR 2012,1190
54,642,38.47,Hong Kong,,HKG,1,,Taipei City (TPE),26 MAY 2012,1190
55,642,38.47,United States U23,,USA,1,,Kamloops (CAN),09 AUG 2014,1190
56,642,38.47,France,,FRA,3,,"Letzigrund, Zürich (SUI)",17 AUG 2014,1190
57,642,38.47,Arkansas,,INT,1,,"Eugene, OR (USA)",12 JUN 2015,1190
58,642,38.47,Germany,,GER,3,,"Olympisch Stadion, Amsterdam (NED)",10 JUL 2016,1190
59,642,38.47,Cuba,,CUB,7h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1190
60,642,38.47,South Africa,,RSA,1,,Germiston (RSA),22 MAR 2017,1190
61,642,38.47,Auburn,,INT,1sf2,,"Eugene, OR (USA)",07 JUN 2017,1190
62,642,38.47,Turkey,,TUR,3h2,,"International Stadium, Yokohama (JPN)",11 MAY 2019,1190
63,642,38.47,Florida,,INT,1,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1190
64,642,38.47,Italy,,ITA,2f1,,"Stadion Śląski, Chorzów (POL)",24 JUN 2023,1190
65,666,38.48,United States,,USA,1,,"Estadio Panamericano, La Habana (CUB)",26 SEP 1992,1189
66,666,38.48,Brazil,,BRA,3sf2,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1189
67,666,38.48,Brazil,,BRA,6,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1189
68,666,38.48,Louisiana State,,INT,1f1,,"Baton Rouge, LA (USA)",31 MAY 2002,1189
69,666,38.48,United States,,USA,1f1,,"Austin, TX (USA)",09 APR 2005,1189
70,666,38.48,Germany,,GER,7,,"Olympiastadion, Helsinki (FIN)",13 AUG 2005,1189
71,666,38.48,Great Britain & NI,,GBR,1,,"Parc des Sports, Annecy (FRA)",21 JUN 2008,1189
72,666,38.48,Germany,,GER,2f1,,"Stade Louis II, Monaco (MON)",29 JUL 2008,1189
73,666,38.48,Racers Track Club,,INT,2f1,,Kingston (JAM),28 FEB 2009,1189
74,666,38.48,Racers Lion Track Club,,JAM,1,,Kingston (JAM),25 FEB 2012,1189
75,666,38.48,Canada,,CAN,1,,Ottawa (CAN),14 JUL 2012,1189
76,666,38.48,Germany,,GER,1,,Mannheim (GER),08 AUG 2015,1189
77,666,38.48,North Carolina A&T,,USA,2sf2,,"Eugene, OR (USA)",07 JUN 2017,1189
78,666,38.48,Auburn,,INT,2,,"Eugene, OR (USA)",09 JUN 2017,1189
79,666,38.48,France,,FRA,5,,"Olympic Stadium, London (GBR)",12 AUG 2017,1189
80,666,38.48,Canada,,CAN,4h2,,"Olympic Stadium, London (GBR)",12 AUG 2017,1189
81,666,38.48,LSU,,INT,1,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1189
82,666,38.48,England,,GBR,1h1,,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022,1189
83,684,38.49,France,,FRA,1sf1,,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1188
84,684,38.49,Cuba,,CUB,2sf1,,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1188
85,684,38.49,Canada,,CAN,2,,Winnipeg (CAN),30 JUL 1999,1188
86,684,38.49,France,,FRA,5,,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1188
87,684,38.49,Australia,,AUS,3h1,,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1188
88,684,38.49,Japan,,JPN,4,,"Olympic Stadium, Athina (GRE)",28 AUG 2004,1188
89,684,38.49,Arkansas,,INT,1,,"Sacramento, CA (USA)",10 JUN 2005,1188
90,684,38.49,Florida,,USA,1h2,,"Des Moines, IA (USA)",08 JUN 2011,1188
91,684,38.49,Saint Kitts and Nevis,,SKN,3,,"DS, Daegu (KOR)",04 SEP 2011,1188
92,684,38.49,Italy,,ITA,4h3,,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013,1188
93,684,38.49,Japan,,JPN,2,,Incheon (KOR),02 OCT 2014,1188
94,684,38.49,Arkansas,,USA,3,,"Eugene, OR (USA)",10 JUN 2016,1188
95,684,38.49,Florida,,INT,1h2,,"Eugene, OR (USA)",06 JUN 2018,1188
96,684,38.49,Italy,,ITA,1,,Tarragona (ESP),30 JUN 2018,1188
97,684,38.49,Houston,,INT,1,,"Mike A. Myers Stadium, Austin, TX (USA)",27 MAR 2021,1188
98,684,38.49,Canada,,CAN,1,,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",24 APR 2021,1188
99,684,38.49,Netherlands,,NED,3,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1188
0,684,38.49,USC,,USA,1,,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1188
1,684,38.49,Great Britain & NI,,GBR,2h1,,"Hayward Field, Eugene, OR (USA)",22 JUL 2022,1188
2,684,38.49,Louisville,,USA,2sf2,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1188
3,704,38.5,Soviet Union,,URS,2,,"Olympiastadion, München (GER)",10 SEP 1972,1187
4,704,38.5,United States,,USA,1sf2,,"Olympiastadion, Helsinki (FIN)",10 AUG 1983,1187
5,704,38.5,Australia,,AUS,2,,"Ullevi Stadium, Göteborg (SWE)",13 AUG 1995,1187
6,704,38.5,South Africa,,RSA,1f1,,Pretoria (RSA),24 MAR 2000,1187
7,704,38.5,Poland,,POL,3sf1,,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003,1187
8,704,38.5,Brazil,,BRA,1sf2,,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003,1187
9,704,38.5,Germany,,GER,3,,München (GER),08 AUG 2004,1187
10,704,38.5,United States Red,,USA,2f,,Helsinki (FIN),25 JUL 2005,1187
11,704,38.5,United States Red,,USA,3,,"Philadelphia, PA (USA)",24 APR 2010,1187
12,704,38.5,France,,FRA,1,,"Stadio Olimpico, Roma (ITA)",10 JUN 2010,1187
13,704,38.5,Germany,,GER,1,,Mannheim (GER),03 JUL 2010,1187
14,704,38.5,Poland,,POL,4,,"DS, Daegu (KOR)",04 SEP 2011,1187
15,704,38.5,Racers Lion Track Club,,JAM,1,,Kingston (JAM),23 FEB 2013,1187
16,704,38.5,Texas A&M,,INT,1f2,,"Lexington, KY (USA)",18 MAY 2014,1187
17,704,38.5,Turkey,,TUR,2,,Tarragona (ESP),30 JUN 2018,1187
18,704,38.5,PR of China,,CHN,1,,Xi'an (CHN),24 SEP 2021,1187
19,704,38.5,Star Athletics,,INT,1,,"Mike A. Myers Stadium, Austin, TX (USA)",26 MAR 2022,1187
20,704,38.5,TCU,,INT,1,,"Terry & Linda Fuller T&F Complex, Lubbock, TX (USA)",13 MAY 2022,1187
21,704,38.5,Australia,,AUS,1,,"SOPAC, Sydney (AUS)",11 MAR 2023,1187
