,Rank,Mark,Competitor,DOB,Nat,Pos,Unnamed: 6,Venue,Date,Results Score
13,513,3:01.10,Jamaica,,JAM,2,,"Philadelphia, PA (USA)",24 APR 2004,1180
14,513,3:01.10,France,,FRA,1,,"Ullevi Stadium, Göteborg (SWE)",13 AUG 2006,1180
15,513,3:01.10,Waco All-Stars,,INT,1,,"Houston, TX (USA)",22 MAR 2008,1180
16,513,3:01.10,Belgium,,BEL,1,,"Olympisch Stadion, Amsterdam (NED)",10 JUL 2016,1180
17,513,3:01.10,Cuba,,CUB,6,,"Olympic Stadium, London (GBR)",13 AUG 2017,1180
18,519,3:01.11,France,,FRA,2,,"Olympiastadion, Helsinki (FIN)",14 AUG 1994,1180
19,519,3:01.11,USC,,INT,1h2,,"Sacramento, CA (USA)",26 MAY 2018,1180
20,521,3:01.12,Finland,,FIN,6,,"Olympiastadion, München (GER)",10 SEP 1972,1180
21,521,3:01.12,Great Britain & NI B,,GBR,2,,Praha (TCH),28 JUN 1987,1180
22,521,3:01.12,United States Red,,USA,2,,"Philadelphia, PA (USA)",26 APR 2008,1180
23,521,3:01.12,Baylor,,INT,3,,"Fayetteville, AR (USA)",13 JUN 2009,1180
24,521,3:01.12,Florida,,USA,2,,"Eugene, OR (USA)",10 JUN 2016,1180
25,526,3:01.13,Nigeria,,NGR,4sf2,,"Olympic Stadium, Jamsil, Seoul (KOR)",30 SEP 1988,1180
26,526,3:01.13,German Democratic Republic,,GDR,4,,"Olympic Stadium, Jamsil, Seoul (KOR)",01 OCT 1988,1180
27,526,3:01.13,Texas A&M,,USA,1h1,,"Eugene, OR (USA)",06 JUN 2018,1180
28,529,3:01.15,United States,,USA,1,,"San Antonio, TX (USA)",11 AUG 2002,1179
29,529,3:01.15,Kenya,,KEN,5,,"DS, Daegu (KOR)",02 SEP 2011,1179
30,529,3:01.15,Jamaica,,JAM,2,,"Philadelphia, PA (USA)",27 APR 2013,1179
31,532,3:01.16,Great Britain & NI,,GBR,6,,"DS, Daegu (KOR)",02 SEP 2011,1179
32,532,3:01.16,Colombia,,COL,1,,Medellín (COL),10 JUL 2016,1179
33,534,3:01.17,Bahamas,,BAH,1h1,,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1179
34,534,3:01.17,Jamaica,,JAM,2h2,,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014,1179
35,534,3:01.17,Cuba,,CUB,2h2,,"CIBC, Toronto (CAN)",24 JUL 2015,1179
36,534,3:01.17,Texas A&M,,USA,1f2,,"Knoxville, TN (USA)",13 MAY 2018,1179
37,538,3:01.18,Federal Republic of Germany,,FRG,4sf2,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1179
38,538,3:01.18,Brazil,,BRA,5,,"CIBC, Toronto (CAN)",25 JUL 2015,1179
39,538,3:01.18,Poland,,POL,2,,"Olympisch Stadion, Amsterdam (NED)",10 JUL 2016,1179
40,538,3:01.18,South Africa,,RSA,7h2,,"National Stadium, Tokyo (JPN)",06 AUG 2021,1179
41,542,3:01.19,Texas A&M,,INT,1,,"Lexington, KY (USA)",18 MAY 2014,1179
42,543,3:01.20,Great Britain & NI,,GBR,2h1,,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1179
43,543,3:01.20,Nigeria,,NGR,1,,Johannesburg (RSA),18 SEP 1999,1179
44,543,3:01.20,Nigeria,,NGR,1h5,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1179
45,546,3:01.21,Great Britain & NI,,GBR,5,,"Estadio Olímpico, Ciudad de México (MEX)",20 OCT 1968,1178
46,546,3:01.21,Louisiana State,,INT,3,,"Des Moines, IA (USA)",09 JUN 2012,1178
47,548,3:01.22,Great Britain & NI,,GBR,2sf3,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1178
48,548,3:01.22,Great Britain & NI,,GBR,5,,"Olympic Stadium, Sydney (AUS)",30 SEP 2000,1178
49,548,3:01.22,Great Britain & NI,,GBR,4h1,,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1178
50,548,3:01.22,Cuba,,CUB,3,,San José (CRC),09 AUG 2015,1178
51,548,3:01.22,Florida,,USA,1h3,,"Billy Hayes T& F Complex, Bloomington, IN (USA)",27 MAY 2022,1178
52,553,3:01.23,Texas A&M,,USA,2h2,,"Sacramento, CA (USA)",26 MAY 2018,1178
53,554,3:01.24,Poland,,POL,3f1,,"Olympic Stadium, Cheboksary (RUS)",21 JUN 2015,1178
54,555,3:01.25,NIKE,,INT,1,,"Philadelphia, PA (USA)",25 APR 1998,1178
55,555,3:01.25,South Africa,,RSA,5sf1,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1178
56,555,3:01.25,Great Britain & NI,,GBR,1,,"Olympiastadion, München (GER)",11 AUG 2002,1178
57,558,3:01.26,Japan,,JPN,4h1,,"National Stadium, Tokyo (JPN)",31 AUG 1991,1178
58,558,3:01.26,Germany,,GER,1h1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1178
59,558,3:01.26,Great Britain & NI,,GBR,5,,"Commonwealth Stadium, Edmonton (CAN)",12 AUG 2001,1178
60,558,3:01.26,Arizona State,,INT,1,,"Tucson, AZ (USA)",15 MAY 2004,1178
61,558,3:01.26,South Africa,,RSA,5h1,,"National Stadium, Beijing (CHN)",22 AUG 2008,1178
62,558,3:01.26,Florida,,USA,1f1,,"Austin, TX (USA)",29 MAR 2014,1178
63,558,3:01.26,Ireland,,IRL,8h2,,"National Stadium, Beijing (CHN)",29 AUG 2015,1178
64,558,3:01.26,Texas A&M,,USA,1sf1,,"Austin, TX (USA)",05 JUN 2019,1178
65,566,3:01.27,Spain,,ESP,1h1,,"Olympiastadion, München (GER)",19 AUG 2022,1177
66,567,3:01.28,Texas,,INT,3,,"Mike A. Myers Stadium, Austin, TX (USA)",27 MAR 2021,1177
67,568,3:01.29,Trinidad and Tobago,,TTO,1,,"Alexander Stadium, Birmingham (GBR)",07 AUG 2022,1177
68,569,3:01.30,Poland,,POL,2h5,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1177
69,569,3:01.30,USC,,INT,2h1,,"Eugene, OR (USA)",06 JUN 2018,1177
70,569,3:01.30,Florida,,USA,1sf3,,"Hayward Field, Eugene, OR (USA)",08 JUN 2022,1177
71,572,3:01.31,France,,FRA,2h1,,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1177
72,572,3:01.31,United States,,USA,1,,"Philadelphia, PA (USA)",28 APR 2018,1177
73,574,3:01.32,Federal Republic of Germany,,FRG,3,,Praha (TCH),28 JUN 1987,1177
74,574,3:01.32,Poland,,POL,2h3,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1177
75,574,3:01.32,South Plains,,USA,1,,"Lubbock, TX (USA)",05 MAY 2012,1177
76,577,3:01.33,Germany,,GER,2h1,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1177
77,577,3:01.33,Bahamas,,BAH,1h1,,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003,1177
78,577,3:01.33,Poland,,POL,2,,"Stadio Luigi Ridolfi, Firenze (ITA)",19 JUN 2005,1177
79,577,3:01.33,Bahamas,,BAH,1,,Mayagüez (PUR),17 JUL 2011,1177
80,581,3:01.34,Great Britain & NI,,GBR,1,,"Crystal Palace, London (GBR)",11 SEP 1994,1176
81,581,3:01.34,South Africa,,RSA,2,,Johannesburg (RSA),18 SEP 1999,1176
82,581,3:01.34,Russia,,RUS,2,,"Olympiastadion, München (GER)",11 AUG 2002,1176
83,581,3:01.34,Florida,,USA,1,,"Eugene, OR (USA)",08 JUN 2013,1176
84,581,3:01.34,Netherlands,,NED,5,,"Olympiastadion, München (GER)",20 AUG 2022,1176
85,586,3:01.35,Oceania,,AUS,3,,"Bruce Stadium, Canberra (AUS)",06 OCT 1985,1176
86,586,3:01.35,Japan,,JPN,3h1,,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1176
87,586,3:01.35,Great Britain & NI,,GBR,2sf2,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1176
88,586,3:01.35,Bahamas,,BAH,3,,Manchester (GBR),31 JUL 2002,1176
89,586,3:01.35,Trinidad and Tobago,,TTO,3h2,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1176
90,586,3:01.35,France,,FRA,7,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1176
91,592,3:01.36,Cuba,,CUB,2h3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1176
92,592,3:01.36,Great Britain & NI,,GBR,1sf1,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1176
93,592,3:01.36,Florida,,USA,4,,"Sacramento, CA (USA)",11 JUN 2005,1176
94,595,3:01.37,Italy,,ITA,4,,"Neckarstadion, Stuttgart (GER)",31 AUG 1986,1176
95,595,3:01.37,Jamaica,,JAM,1h2,,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003,1176
96,595,3:01.37,Germany,,GER,7,,"DS, Daegu (KOR)",02 SEP 2011,1176
97,598,3:01.38,Brazil,,BRA,1h3,,"Estadio Olímpico, Barcelona (ESP)",07 AUG 1992,1176
98,598,3:01.38,Poland,,POL,3sf3,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1176
99,598,3:01.38,Jamaica,,JAM,3h3,,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1176
0,598,3:01.38,Arizona State,,USA,5,,"Mike A. Myers Stadium, Austin, TX (USA)",01 APR 2023,1176
1,602,3:01.39,Baylor,,INT,1,,"Des Moines, IA (USA)",25 APR 1998,1176
2,602,3:01.39,Louisiana State,,INT,2,,"Philadelphia, PA (USA)",24 APR 2004,1176
3,602,3:01.39,Hurdle Mechanic,,USA,1f2,,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",02 APR 2022,1176
4,605,3:01.40,United States,,USA,1h1,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1175
5,605,3:01.40,France,,FRA,4h2,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1175
6,607,3:01.41,GW Exp,,INT,2f1,,"Gainesville, FL (USA)",03 APR 2010,1175
7,607,3:01.41,IMG Academy,,INT,3f1,,"Gainesville, FL (USA)",05 APR 2014,1175
8,607,3:01.41,Colombia,,COL,1,,Lima (PER),10 AUG 2019,1175
9,610,3:01.42,Spain,,ESP,3h1,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1175
10,610,3:01.42,Texas A&M,,INT,1f3,,"Fayetteville, AR (USA)",31 MAY 2014,1175
11,610,3:01.42,Texas A&M,,USA,1h3,,"Fayetteville, AR (USA)",31 MAY 2014,1175
12,613,3:01.43,Poland,,POL,2,,"Olympic Stadium, Montréal (CAN)",31 JUL 1976,1175
13,613,3:01.43,Zimbabwe,,ZIM,6,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1175
14,613,3:01.43,Trinidad and Tobago,,TTO,2,,Nassau (BAH),11 JUL 2005,1175
15,616,3:01.44,United States,,USA,1h4,,"Memorial Coliseum, Los Angeles, CA (USA)",10 AUG 1984,1175
16,616,3:01.44,Jamaica,,JAM,7,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",22 AUG 1993,1175
17,616,3:01.44,Venezuela,,VEN,6f1,,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014,1175
18,616,3:01.44,Great Britain & NI,,GBR,3,,"Olympisch Stadion, Amsterdam (NED)",10 JUL 2016,1175
19,620,3:01.45,Jamaica,,JAM,7,,"National Stadium, Beijing (CHN)",23 AUG 2008,1175
20,621,3:01.46,Europa,,INT,4,,"Bruce Stadium, Canberra (AUS)",06 OCT 1985,1175
21,621,3:01.46,Japan,,JPN,4sf1,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1175
22,621,3:01.46,Baylor,,INT,1,,"Durham, NC (USA)",03 JUN 2000,1175
23,621,3:01.46,United States,,USA,1h2,,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,1175
24,621,3:01.46,Pure Athletics,,USA,1f1,,"Gainesville, FL (USA)",30 MAR 2019,1175
25,626,3:01.47,Europa,,INT,2,,"Stadio Olimpico, Roma (ITA)",06 SEP 1981,1174
26,626,3:01.47,Great Britain & NI,,GBR,2sf1,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1174
27,628,3:01.49,United States,,USA,1,,Ostrava (CZE),31 MAY 2001,1174
28,628,3:01.49,United States,,USA,1,,Burnaby (CAN),01 JUN 2002,1174
29,628,3:01.49,Florida,,INT,2,,"Austin, TX (USA)",02 APR 2004,1174
30,628,3:01.49,Colombia,,COL,1,,Cali (COL),26 JUN 2016,1174
31,632,3:01.50,Bahamas,,BAH,3h5,,"Olympic Stadium, Sydney (AUS)",29 SEP 2000,1174
32,632,3:01.50,Great Britain & NI,,GBR,6f1,,"T. Robinson Stadium, Nassau (BAH)",03 MAY 2015,1174
33,632,3:01.50,North Carolina A&T,,INT,5,,"Austin, TX (USA)",07 JUN 2019,1174
34,635,3:01.51,German Democratic Republic,,GDR,3,,"Poljud Stadion, Split (CRO)",01 SEP 1990,1174
35,635,3:01.51,Russia,,RUS,3h3,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1174
36,635,3:01.51,South Africa,,RSA,4sf3,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1174
37,635,3:01.51,Russia,,RUS,4h3,,"La Cartuja, Sevilla (ESP)",28 AUG 1999,1174
38,635,3:01.51,Arizona State,,INT,3,,"Austin, TX (USA)",02 APR 2004,1174
39,635,3:01.51,Trinidad and Tobago,,TTO,3,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1174
40,635,3:01.51,Texas A&M,,INT,1,,"Sun Angel Stadium, Tempe, AZ (USA)",19 MAR 2022,1174
41,635,3:01.51,Georgia,,INT,2sf2,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1174
42,643,3:01.52,Italy,,ITA,7,,"Olympic Stadium, Athina (GRE)",10 AUG 1997,1174
43,643,3:01.52,Australia,,AUS,1,,Canberra (AUS),26 JAN 2008,1174
44,643,3:01.52,Penn State,,USA,1h2,,"Des Moines, IA (USA)",07 JUN 2012,1174
45,643,3:01.52,Stephen F. Austin,,USA,2,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1174
46,647,3:01.53,Japan,,JPN,2h1,,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1173
47,648,3:01.54,Florida State,,INT,1,,"Philadelphia, PA (USA)",25 APR 2009,1173
48,648,3:01.54,Bahamas,,BAH,3h2,,"DS, Daegu (KOR)",01 SEP 2011,1173
49,648,3:01.54,Central TX All Stars,,INT,1,,"Austin, TX (USA)",31 MAR 2012,1173
50,651,3:01.55,Texas A&M,,INT,1f1,,"Austin, TX (USA)",03 APR 2010,1173
51,651,3:01.55,Baylor,,INT,1f3,,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",22 APR 2023,1173
52,653,3:01.56,Mississippi State,,INT,3,,"Des Moines, IA (USA)",11 JUN 2011,1173
53,653,3:01.56,Australia,,AUS,4h2,,"DS, Daegu (KOR)",01 SEP 2011,1173
54,653,3:01.56,Great Britain & NI,,GBR,2,,"Olympiastadion, Helsinki (FIN)",01 JUL 2012,1173
55,656,3:01.57,Russia,,RUS,3,,"Stade Charléty, Paris (FRA)",20 JUN 1999,1173
56,656,3:01.57,Jamaica,,JAM,2,,Brisbane (AUS),07 SEP 2001,1173
57,656,3:01.57,Jamaica,,JAM,2f1,,"International Stadium, Yokohama (JPN)",12 MAY 2019,1173
58,656,3:01.57,Netherlands,,NED,2h1,,"Olympiastadion, München (GER)",19 AUG 2022,1173
59,656,3:01.57,Arizona State,,INT,1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 MAY 2023,1173
60,661,3:01.58,United States Red,,USA,1,,"Austin, TX (USA)",02 APR 2004,1173
61,661,3:01.58,Louisiana State,,INT,1,,"Sacramento, CA (USA)",10 JUN 2006,1173
62,661,3:01.58,Australia,,AUS,2,,Daegu (KOR),16 MAY 2012,1173
63,661,3:01.58,Penn State,,USA,4,,"Des Moines, IA (USA)",09 JUN 2012,1173
64,661,3:01.58,Trinidad and Tobago,,TTO,3h2,,"CIBC, Toronto (CAN)",24 JUL 2015,1173
65,666,3:01.59,Yugoslavia,,YUG,5sf2,,"Olympic Stadium, Jamsil, Seoul (KOR)",30 SEP 1988,1173
66,666,3:01.59,Belgium,,BEL,1f1,,Izmir (TUR),19 JUN 2011,1173
67,666,3:01.59,Poland,,POL,7,,"Olympic Stadium, London (GBR)",13 AUG 2017,1173
68,666,3:01.59,North Carolina A&T,,INT,2h3,,"Billy Hayes T& F Complex, Bloomington, IN (USA)",27 MAY 2022,1173
69,666,3:01.59,Jamaica,,JAM,3h1,,"Hayward Field, Eugene, OR (USA)",23 JUL 2022,1173
70,671,3:01.60,Barbados,,BAR,6,,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984,1172
71,671,3:01.60,Nigeria,,NGR,2h2,,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1172
72,671,3:01.60,Louisiana State,,USA,3,,"Eugene, OR (USA)",14 JUN 2014,1172
73,671,3:01.60,Florida,,USA,1f2,,"Starkville, MS (USA)",16 MAY 2015,1172
74,671,3:01.60,Italy,,ITA,3h1,,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019,1172
75,676,3:01.61,Soviet Union,,URS,3sf1,,"Stadio Olimpico, Roma (ITA)",05 SEP 1987,1172
76,676,3:01.61,Brazil,,BRA,4,,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1172
77,676,3:01.61,Bulgaria,,BUL,2h1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1172
78,676,3:01.61,Florida,,INT,3h1,,"Eugene, OR (USA)",06 JUN 2018,1172
79,680,3:01.62,Russia,,RUS,5,,"Yanmar Stadium Nagai, Osaka (JPN)",02 SEP 2007,1172
80,680,3:01.62,Great Britain & NI,,GBR,1h1,,"Olympiastadion, Berlin (GER)",10 AUG 2018,1172
81,680,3:01.62,Italy,,ITA,1,,"Stade Municipal, Annecy (FRA)",11 JUN 2023,1172
82,683,3:01.63,Mississippi State,,USA,5,,"Sacramento, CA (USA)",11 JUN 2005,1172
83,683,3:01.63,Great Britain & NI,,GBR,2,,"Ullevi Stadium, Göteborg (SWE)",13 AUG 2006,1172
84,683,3:01.63,Bahamas,,BAH,2,,"Philadelphia, PA (USA)",25 APR 2015,1172
85,683,3:01.63,Louisiana State,,INT,2f2,,"Starkville, MS (USA)",16 MAY 2015,1172
86,683,3:01.63,Great Britain & NI,,GBR,1h1,,"Olympisch Stadion, Amsterdam (NED)",09 JUL 2016,1172
87,683,3:01.63,Czech Republic,,CZE,8,,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,1172
88,683,3:01.63,Baylor,,INT,6,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1172
89,690,3:01.64,Texas A&M,,INT,3,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1172
90,691,3:01.65,France,,FRA,3h2,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1172
91,691,3:01.65,France,,FRA,3,,"Stadio Luigi Ridolfi, Firenze (ITA)",19 JUN 2005,1172
92,691,3:01.65,France,,FRA,2h1,,"Olympiastadion, Berlin (GER)",22 AUG 2009,1172
93,691,3:01.65,Trinidad and Tobago,,TTO,2,,Mayagüez (PUR),17 JUL 2011,1172
94,695,3:01.66,Louisiana State,,INT,1h,,"Eugene, OR (USA)",31 MAY 2001,1171
95,695,3:01.66,Baylor,,USA,1f2,,"Des Moines, IA (USA)",26 MAY 2007,1171
96,695,3:01.66,Mississippi State,,INT,2,,"Eugene, OR (USA)",12 JUN 2010,1171
97,695,3:01.66,Brazil,,BRA,4h2,,"CIBC, Toronto (CAN)",24 JUL 2015,1171
98,699,3:01.67,Kenya,,KEN,5,,"Stadio Olimpico, Roma (ITA)",06 SEP 1987,1171
99,699,3:01.67,Bahamas,,BAH,3,,Brisbane (AUS),07 SEP 2001,1171
0,699,3:01.67,Ireland,,IRL,4,,"Letzigrund, Zürich (SUI)",17 AUG 2014,1171
1,699,3:01.67,Venezuela,,VEN,2,,Medellín (COL),10 JUL 2016,1171
2,699,3:01.67,France,,FRA,2h1,,"Olympiastadion, Berlin (GER)",10 AUG 2018,1171
3,699,3:01.67,LSU,,USA,3sf1,,"Hayward Field, Eugene, OR (USA)",08 JUN 2022,1171
4,705,3:01.68,Jamaica,,JAM,1,,Mayagüez (PUR),30 JUL 2010,1171
5,705,3:01.68,Texas A&M,,INT,5,,"Des Moines, IA (USA)",09 JUN 2012,1171
6,705,3:01.68,Kentucky,,INT,4sf1,,"Hayward Field, Eugene, OR (USA)",08 JUN 2022,1171
7,708,3:01.69,Africa,,INT,2,,"CM, Madrid (ESP)",21 SEP 2002,1171
8,708,3:01.69,Texas Tech,,INT,1h3,,"Sacramento, CA (USA)",08 JUN 2005,1171
9,708,3:01.69,Texas,,INT,4,,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1171
10,711,3:01.70,Jamaica,,JAM,3h1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1171
11,711,3:01.70,France,,FRA,2h2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",21 AUG 1993,1171
12,711,3:01.70,Japan,,JPN,1,,Bangkok (THA),19 DEC 1998,1171
13,711,3:01.70,South Africa,,RSA,3h3,,"Commonwealth Stadium, Edmonton (CAN)",11 AUG 2001,1171
14,711,3:01.70,Japan,,JPN,1,,Osaka (JPN),08 MAY 2004,1171
15,711,3:01.70,Poland,,POL,1,,"Olympiastadion, München (GER)",24 JUN 2007,1171
16,711,3:01.70,Venezuela,,VEN,2,,Barquisimeto (VEN),10 JUN 2012,1171
17,711,3:01.70,Belgium,,BEL,4h1,,"Olympic Stadium, London (GBR)",09 AUG 2012,1171
18,711,3:01.70,Germany,,GER,5,,"Letzigrund, Zürich (SUI)",17 AUG 2014,1171
19,720,3:01.71,Nigeria,,NGR,5,,"Estadio Olímpico, Barcelona (ESP)",08 AUG 1992,1171
20,720,3:01.71,Russia,,RUS,4f1,,"Olympic Stadium, Cheboksary (RUS)",21 JUN 2015,1171
21,720,3:01.71,Kentucky,,INT,1,,"Cushing Stadium, College Station, TX (USA)",15 MAY 2021,1171
22,723,3:01.72,Senegal,,SEN,2sf1,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1171
23,723,3:01.72,Russia,,RUS,1f1,,"Fana Stadion, Bergen (NOR)",20 JUN 2010,1171
24,723,3:01.72,Spain,,ESP,1h1,,"Olympic Stadium, London (GBR)",12 AUG 2017,1171
25,723,3:01.72,United States,,USA,2,,Lima (PER),10 AUG 2019,1171
26,723,3:01.72,Texas A&M,,INT,5,,"Hayward Field, Eugene, OR (USA)",10 JUN 2022,1171
27,728,3:01.73,Kenya,,KEN,3sf1,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1170
28,728,3:01.73,Kenya,,KEN,3,,Johannesburg (RSA),18 SEP 1999,1170
29,728,3:01.73,Louisiana State,,INT,1,,"Houston, TX (USA)",31 MAR 2001,1170
30,728,3:01.73,Poland,,POL,3,,"Ullevi Stadium, Göteborg (SWE)",13 AUG 2006,1170
31,728,3:01.73,Texas A&M,,INT,1f1,,"Philadelphia, PA (USA)",30 APR 2011,1170
32,728,3:01.73,Poland,,POL,5h2,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1170
33,728,3:01.73,Dominican Republic,,DOM,4,,San José (CRC),09 AUG 2015,1170
34,728,3:01.73,Texas A&M,,INT,2,,"Cushing Stadium, College Station, TX (USA)",15 MAY 2021,1170
35,736,3:01.74,Bahamas,,BAH,3h2,,"Olympic Stadium, Athina (GRE)",27 AUG 2004,1170
36,736,3:01.74,Trinidad and Tobago,,TTO,5,,"Luzhniki Stadion, Moskva (RUS)",16 AUG 2013,1170
37,736,3:01.74,Texas A&M,,USA,1,,"Austin, TX (USA)",01 APR 2017,1170
38,739,3:01.75,Italy,,ITA,2sf3,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1170
39,740,3:01.76,France,,FRA,2sf1,,"Olympic Stadium, Athina (GRE)",09 AUG 1997,1170
40,740,3:01.76,Great Britain & NI,,GBR,1,,"Stadio Olimpico, Roma (ITA)",31 MAY 2012,1170
41,740,3:01.76,Dominican Republic,,DOM,5h2,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1170
42,743,3:01.77,Santa Monica Track Club,,USA,1,,Linz (AUT),09 JUL 1997,1170
43,743,3:01.77,Arizona State,,INT,1,,"Northridge, CA (USA)",29 MAY 2004,1170
44,743,3:01.77,Germany,,GER,2,,"Olympiastadion, München (GER)",24 JUN 2007,1170
45,743,3:01.77,Baylor,,INT,2f2,,"Austin, TX (USA)",09 APR 2011,1170
46,743,3:01.77,Germany,,GER,3,,"Olympiastadion, Helsinki (FIN)",01 JUL 2012,1170
47,743,3:01.77,Texas A&M,,USA,1f2,,"Fayetteville, AR (USA)",11 MAY 2019,1170
48,749,3:01.78,Italy,,ITA,4,,"Poljud Stadion, Split (CRO)",01 SEP 1990,1170
49,749,3:01.78,Germany,,GER,1,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2004,1170
50,749,3:01.78,Jamaica,,JAM,1,,Cartagena de Indias (COL),29 JUL 2006,1170
51,749,3:01.78,Texas A&M,,USA,2,,"Des Moines, IA (USA)",14 JUN 2008,1170
52,749,3:01.78,Florida,,USA,1f1,,"Gainesville, FL (USA)",04 APR 2015,1170
53,749,3:01.78,Poland,,POL,2h1,,"Olympic Stadium, London (GBR)",12 AUG 2017,1170
54,749,3:01.78,Botswana,,BOT,1,,Gold Coast (AUS),14 APR 2018,1170
55,756,3:01.79,Great Britain & NI,,GBR,1h1,,"Olympic Stadium, Atlanta, GA (USA)",02 AUG 1996,1169
56,756,3:01.79,Cuba,,CUB,4,,Winnipeg (CAN),30 JUL 1999,1169
57,756,3:01.79,Poland,,POL,1,,"Weserstadion, Bremen (GER)",24 JUN 2001,1169
58,756,3:01.79,France,,FRA,1h3,,"Stade de France, Paris-St-Denis (FRA)",30 AUG 2003,1169
59,756,3:01.79,Iowa,,USA,5sf1,,"Hayward Field, Eugene, OR (USA)",08 JUN 2022,1169
60,756,3:01.79,United States,,USA,1,,"Grand Bahama Sports Complex, Freeport (BAH)",21 AUG 2022,1169
61,762,3:01.80,World International,,INT,1f1,,"Austin, TX (USA)",03 APR 1999,1169
62,762,3:01.80,Vector Sports Management,,USA,1,,"Tempe, AZ (USA)",10 APR 1999,1169
63,762,3:01.80,Minnesota,,INT,2,,"Austin, TX (USA)",12 JUN 2004,1169
64,762,3:01.80,Venezuela,,VEN,2,,Veracruz (MEX),28 NOV 2014,1169
65,762,3:01.80,Germany,,GER,3h1,,"Olympiastadion, München (GER)",19 AUG 2022,1169
66,762,3:01.80,Belgium,,BEL,4h1,,"Olympiastadion, München (GER)",19 AUG 2022,1169
67,768,3:01.81,Jamaica,,JAM,1f2,,Santo Domingo (DOM),09 AUG 2003,1169
68,769,3:01.82,Cuba,,CUB,2sf2,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995,1169
69,769,3:01.82,United States Blue,,USA,3,,"Philadelphia, PA (USA)",28 APR 2001,1169
70,769,3:01.82,Bahamas,,BAH,2,,Mayagüez (PUR),30 JUL 2010,1169
71,769,3:01.82,USATF High Performance B,,USA,2f1,,"Gainesville, FL (USA)",30 MAR 2019,1169
72,769,3:01.82,Czech Republic,,CZE,6,,"Olympiastadion, München (GER)",20 AUG 2022,1169
